months_as_customer,insured_sex,insured_education_level,insured_occupation,insured_relationship,policy_deductable,policy_annual_premium,umbrella_limit,policy_csl,capital_gains,capital_loss,incident_hour_of_the_day,incident_type,collision_type,incident_severity,authorities_contacted,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,property_damage,police_report_available
12,MALE,MD,exec-managerial,husband,1000,1200,0,250/500,0,0,23,Single Vehicle Collision,Side Collision,Major Damage,Police,1,0,0,15000,20000,25000,YES,NO
120,FEMALE,Masters,prof-specialty,wife,500,800,200000,100/300,25000,0,14,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,2,1,3,2000,3000,5000,YES,YES
6,MALE,High School,handlers-cleaners,not-in-family,2000,1500,0,500/1000,0,0,2,Vehicle Theft,?,Total Loss,None,1,0,0,0,0,45000,NO,NO
48,FEMALE,College,sales,unmarried,1000,950,0,250/500,0,10000,10,Parked Car,?,Trivial Damage,Police,1,0,2,500,1500,2000,YES,YES
3,MALE,PhD,tech-support,own-child,500,2200,0,500/1000,0,0,1,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,1,2,0,30000,15000,35000,YES,NO
200,FEMALE,JD,prof-specialty,wife,1000,1100,500000,250/500,60000,0,15,Multi-vehicle Collision,Side Collision,Minor Damage,Police,3,0,4,3000,5000,4000,YES,YES
24,MALE,Associate,craft-repair,husband,2000,750,0,100/300,0,0,20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,1,1,1,8000,12000,18000,YES,YES
1,FEMALE,High School,other-service,not-in-family,500,1800,0,500/1000,0,80000,3,Vehicle Theft,?,Total Loss,None,1,0,0,0,0,55000,?,NO
36,MALE,College,machine-op-inspct,husband,1000,900,0,250/500,0,0,12,Parked Car,?,Trivial Damage,Police,1,0,1,200,800,1200,NO,YES
60,FEMALE,Masters,exec-managerial,wife,500,1350,100000,100/300,40000,0,17,Multi-vehicle Collision,Front Collision,Major Damage,Police,4,3,0,25000,18000,22000,YES,NO
